Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,D,D_0402_1005Metric_Pad0.77x0.64mm_HandSolder,1.900000,-5.172500,90.000000,top
D2,D,D_0402_1005Metric_Pad0.77x0.64mm_HandSolder,20.900000,-5.172500,90.000000,top
D3,D,D_0402_1005Metric_Pad0.77x0.64mm_HandSolder,39.900000,-5.172500,90.000000,top
D4,D,D_0402_1005Metric_Pad0.77x0.64mm_HandSolder,58.900000,-5.172500,90.000000,top
D5,D,D_0402_1005Metric_Pad0.77x0.64mm_HandSolder,1.900000,-24.172500,90.000000,top
D6,D,D_0402_1005Metric_Pad0.77x0.64mm_HandSolder,20.900000,-24.172500,90.000000,top
D7,D,D_0402_1005Metric_Pad0.77x0.64mm_HandSolder,39.900000,-24.172500,90.000000,top
D8,D,D_0402_1005Metric_Pad0.77x0.64mm_HandSolder,58.900000,-24.172500,90.000000,top
D9,D,D_0402_1005Metric_Pad0.77x0.64mm_HandSolder,1.900000,-43.172500,90.000000,top
D10,D,D_0402_1005Metric_Pad0.77x0.64mm_HandSolder,20.900000,-43.172500,90.000000,top
D11,D,D_0402_1005Metric_Pad0.77x0.64mm_HandSolder,39.900000,-43.172500,90.000000,top
D12,D,D_0402_1005Metric_Pad0.77x0.64mm_HandSolder,58.900000,-43.172500,90.000000,top
WS1,WS2812B-2020-JLCPCB,ws2812b-2020-2.0mmx2.0mm,-0.300000,-5.200000,0.000000,top
WS2,WS2812B-2020-JLCPCB,ws2812b-2020-2.0mmx2.0mm,18.700000,-5.200000,0.000000,top
WS3,WS2812B-2020-JLCPCB,ws2812b-2020-2.0mmx2.0mm,37.700000,-5.200000,0.000000,top
WS4,WS2812B-2020-JLCPCB,ws2812b-2020-2.0mmx2.0mm,56.700000,-5.200000,0.000000,top
WS5,WS2812B-2020-JLCPCB,ws2812b-2020-2.0mmx2.0mm,-0.300000,-24.200000,0.000000,top
WS6,WS2812B-2020-JLCPCB,ws2812b-2020-2.0mmx2.0mm,18.700000,-24.200000,0.000000,top
WS7,WS2812B-2020-JLCPCB,ws2812b-2020-2.0mmx2.0mm,37.700000,-24.200000,0.000000,top
WS8,WS2812B-2020-JLCPCB,ws2812b-2020-2.0mmx2.0mm,56.700000,-24.200000,0.000000,top
WS9,WS2812B-2020-JLCPCB,ws2812b-2020-2.0mmx2.0mm,-0.300000,-43.200000,0.000000,top
WS10,WS2812B-2020-JLCPCB,ws2812b-2020-2.0mmx2.0mm,18.700000,-43.200000,0.000000,top
WS11,WS2812B-2020-JLCPCB,ws2812b-2020-2.0mmx2.0mm,37.700000,-43.200000,0.000000,top
WS12,WS2812B-2020-JLCPCB,ws2812b-2020-2.0mmx2.0mm,56.700000,-43.200000,0.000000,top
